index,Temperature,Humidity
123496,11.9,41
121416,9.0,50
2029,9.3,44
14616,20.4,66
105150,0.3,91
78100,20.2,54
14777,27.2,47
39319,24.8,24
48771,7.8,72
65026,-24.2,84
105988,-5.6,61
26802,20.2,61
135129,0.6,63
39798,10.7,46
136038,19.2,26
97197,23.8,63
63243,9.5,49
7383,11.3,48
80176,8.4,76
80215,23.0,22
62317,21.0,48
101695,18.3,63
47903,3.7,73
48156,6.4,48
14701,23.1,60
28785,-2.0,82
26774,25.7,42
136331,14.5,92
62506,17.8,40
55824,20.2,52
49609,20.0,68
575,-8.5,92
12677,-1.9,85
95100,7.8,90
2630,30.4,28
1956,5.8,41
26224,14.6,69
6135,-4.4,86
62187,13.6,69
107706,29.9,28
109036,19.9,41
45059,22.3,28
125085,23.7,49
22764,-3.5,83
111704,-12.8,65
113163,19.2,38
95799,18.2,81
78380,23.8,38
5428,0.3,88
85392,19.0,65
122753,-10.4,89
103337,22.7,44
67822,19.7,51
136399,1.1,59
70619,-6.9,94
56102,29.8,34
12000,-5.8,92
34257,-3.2,79
51585,5.8,88
42572,17.3,72
132369,13.0,65
31991,31.6,28
122709,-21.5,85
46725,-27.2,79
27594,14.4,53
71957,20.3,26
105979,-8.0,87
41055,-4.9,65
75099,4.0,78
122157,-11.3,84
100693,1.8,76
113308,17.1,77
34796,-4.0,65
76930,4.3,47
93129,1.4,87
2280,19.9,34
73776,21.9,33
32503,35.3,20
71381,-0.4,96
53390,-9.6,91
87443,-4.5,84
124428,11.2,54
61191,25.6,23
11985,-13.8,89
117212,-3.7,83
53779,9.0,48
126172,25.5,54
6370,-10.5,73
34113,-2.9,95
14956,14.3,71
88036,-31.1,68
88125,-15.3,92
37451,22.6,46
45408,1.7,65
109387,10.7,87
50514,27.8,32
78652,18.4,50
135721,13.3,36
51547,4.0,61
60327,7.1,46
104179,0.4,94
119468,24.1,33
23159,6.0,47
13043,10.1,63
32257,11.2,72
94095,1.7,83
25267,0.6,69
2119,19.2,45
116670,-8.9,92
138603,18.6,64
52106,4.0,59
103752,15.2,45
59910,4.5,62
16345,5.8,85
75256,0.2,92
1876,21.2,41
45956,8.7,58
24127,-3.7,87
2591,13.2,88
102669,27.4,39
133516,-2.1,81
93356,-4.0,83
105698,-7.1,78
54357,18.1,52
20088,23.8,60
17387,-5.3,87
108069,30.2,34
38628,30.0,38
138688,10.6,80
132193,21.4,51
113038,9.5,53
95624,18.0,43
67746,32.5,24
87149,-12.2,77
137703,28.4,37
93350,3.0,58
28104,9.4,65
54829,14.2,83
135063,-10.2,76
84047,10.7,65
39359,6.0,74
40216,8.6,79
73668,32.2,28
61165,24.6,49
129918,-3.6,83
98252,1.8,89
125817,27.8,37
130916,15.7,42
56727,23.0,41
20772,17.4,55
52843,-7.6,90
135134,-7.2,83
11337,-16.1,82
31800,29.6,27
84826,25.7,26
98815,-2.6,82
104954,-7.1,91
53904,8.3,59
38004,27.9,47
60034,1.7,66
105568,-21.0,88
113553,15.3,77
126144,18.3,71
103692,11.6,55
123767,0.7,87
136862,14.9,40
132393,25.2,24
99146,-0.4,84
136291,17.6,44
88972,-0.8,85
39779,8.0,71
52031,0.5,67
44117,36.8,22
56988,13.4,49
80788,8.0,63
78852,19.4,76
48501,11.0,28
119977,27.2,31
16604,5.7,92
90848,24.5,33
56932,21.5,56
104352,0.9,87
96351,18.4,55
73615,18.6,52
55655,29.8,22
18483,-2.2,62
55707,21.7,47
52785,-12.5,85
58069,-19.9,74
108294,31.3,26
106662,5.6,45
48269,12.0,75
61070,21.0,54
45145,18.3,34
108788,31.1,31
89778,8.8,96
23260,-6.1,81
130411,13.6,56
68763,9.8,66
42838,13.4,92
36474,6.3,94
49038,20.8,38
12859,4.4,57
95135,3.3,83
115703,15.6,42
45937,-12.5,74
138312,20.7,48
122469,-19.9,77
44669,19.2,47
42660,13.5,74
101949,17.3,53
19794,24.2,37
15621,20.8,41
73558,29.7,29
36689,3.6,60
120651,25.0,35
106400,-2.2,85
89819,21.2,61
8600,28.0,38
36353,-4.0,75
44048,21.9,72
76856,-12.2,51
86722,-2.6,93
99880,0.3,83
45607,11.5,41
49189,18.4,47
95787,17.6,52
107513,31.6,13
113210,23.9,28
96266,29.0,33
37753,25.4,39
45931,-8.9,74
83505,2.7,68
65313,-2.3,63
10474,11.1,61
38855,30.8,31
106985,14.1,38
127817,-0.7,77
54036,12.8,48
122713,-6.1,82
123869,0.6,91
14900,34.2,31
81201,-6.2,71
106197,5.9,49
113335,21.7,26
61428,29.8,33
16280,-1.9,61
101512,29.7,30
31281,11.8,89
127200,0.6,81
10151,19.5,32
81796,-8.1,90
84850,20.7,70
80620,7.7,61
126422,27.8,28
47116,-17.9,90
114504,32.5,21
121664,11.9,93
21397,25.0,34
92540,8.3,83
77628,19.7,22
102539,25.2,38
41362,3.8,44
114302,26.0,38
82851,-18.9,87
134172,-6.5,91
22494,-4.5,62
111274,-15.6,80
127396,8.9,36
90771,18.7,46
63898,-0.2,88
72162,15.3,51
127368,18.4,22
5399,-4.5,86
14218,18.5,73
137195,27.1,34
115872,5.9,67
20399,18.3,83
88322,-10.1,83
13506,7.3,91
34214,13.8,22
3951,15.4,44
104695,3.7,70
86177,8.2,93
33656,21.8,30
100845,-9.2,85
62431,14.5,31
34242,6.4,49
43325,18.0,85
44240,15.1,51
108257,17.1,67
128548,-2.5,67
34573,-4.5,91
26118,30.5,30
7524,11.5,57
48038,4.8,57
45717,1.8,93
130475,18.2,53
117398,-4.4,86
61462,29.3,42
59545,8.4,87
129287,2.4,62
42952,7.6,80
15199,22.1,53
87177,-3.7,92
86566,-4.8,53
48273,3.4,86
52228,3.5,57
2449,8.8,77
99822,-2.1,76
67422,17.1,89
75584,-1.8,71
8743,32.0,23
44171,21.6,30
71921,13.4,35
85665,16.7,52
94081,1.1,85
16578,3.0,81
69478,-5.8,77
96507,22.4,49
122738,-7.6,93
12053,-4.9,68
29463,-12.0,75
104578,-3.4,71
51624,10.8,40
104053,14.1,49
111138,-8.4,81
90227,18.6,42
95283,7.2,81
34853,-1.8,88
43928,26.4,40
110975,-7.0,96
67919,20.9,46
26184,23.1,41
30414,1.6,87
78541,16.8,53
53921,7.7,96
39366,22.1,23
124916,27.8,24
98504,4.3,72
42172,8.4,76
44641,12.1,57
69974,-11.7,66
14704,16.6,53
50804,27.2,19
36930,5.0,86
54368,-2.2,85
138387,19.0,55
95683,17.0,69
67668,32.8,15
25129,11.7,34
83292,16.6,21
92208,9.9,92
98363,-1.2,85
17612,-5.5,87
121010,19.6,43
75508,-4.0,76
94162,-13.1,91
120404,21.0,76
12978,2.8,91
30939,14.4,38
59896,9.6,40
11863,1.9,91
4699,4.6,62
12752,2.8,88
132278,17.4,71
61062,26.5,42
2174,0.5,90
71183,-6.3,91
62056,34.4,25
93224,-5.5,80
60580,7.7,66
52694,-5.1,70
135638,-2.0,86
73949,18.8,45
44609,15.2,49
136783,15.3,65
136452,11.5,52
59292,2.3,91
22775,6.8,48
132697,18.9,31
13290,18.0,41
17980,-18.3,81
88380,-11.8,80
80271,9.8,96
104438,3.9,90
91497,28.9,18
59349,5.1,86
43134,17.6,65
7473,9.0,94
33244,20.0,49
21192,30.0,33
101498,19.4,33
53410,-7.9,90
18190,-16.7,66
57727,-8.9,86
66163,10.2,88
41441,-6.9,82
135022,-2.4,96
109294,12.1,37
81789,-7.7,90
110474,0.1,65
55040,7.8,56
136341,21.0,49
73478,28.0,34
26748,24.4,47
11644,-5.6,87
65779,1.6,74
16591,5.9,61
75717,-21.0,66
2348,15.4,81
43680,22.3,42
4537,11.7,37
33505,5.9,71
56506,15.4,46
13059,14.5,36
12960,1.4,85
43081,20.1,59
56595,11.6,66
68411,18.3,51
13897,21.8,20
29976,-13.4,62
90334,15.7,64
3418,31.2,50
101162,15.8,57
121778,0.9,87
125983,23.5,36
131843,27.9,38
45962,5.7,78
104140,-3.5,78
103506,20.9,39
38476,15.8,53
97568,18.7,45
97380,30.2,22
132200,33.1,20
61269,32.1,15
20090,19.2,68
13240,5.4,56
68534,19.3,45
2320,16.6,41
87775,-0.1,75
61872,16.0,63
89732,11.1,65
106252,-12.4,79
26386,21.5,51
6422,-24.8,77
3615,16.6,62
19735,20.2,49
92242,8.4,91
66374,17.1,59
114608,20.8,50
97652,24.6,37
71659,16.8,43
55641,28.2,29
77446,3.9,79
44474,29.0,25
57318,19.8,26
43091,7.0,83
3288,25.0,41
62978,-0.4,86
109420,17.6,44
82471,-11.3,72
115014,17.9,44
34007,2.1,64
79704,28.4,29
82925,-8.9,86
54659,13.0,42
127270,11.0,38
110501,-1.9,89
121841,1.4,56
39535,11.4,58
70079,-1.7,96
91845,18.8,40
10418,5.0,58
120958,10.0,62
98877,-1.2,85
129902,-5.5,85
64675,-14.4,66
23751,-10.4,70
18742,-2.6,91
59408,-16.8,82
49196,24.7,39
114729,22.8,31
99478,-6.1,94
5824,0.5,90
136088,-3.9,80
107574,12.3,36
100868,-8.4,80
97304,26.5,36
23389,-1.6,86
58432,-4.7,88
56589,15.6,69
96587,24.7,54
15832,13.8,67
111943,-7.3,71
12033,-10.2,85
32762,24.2,40
33100,18.5,45
85271,24.5,44
133014,16.1,56
53610,6.5,83
3354,33.0,34
100971,6.7,82
18265,-9.7,85
59045,-23.8,76
9338,17.0,53
63991,-2.6,65
3713,15.8,76
2034,8.0,63
22033,3.2,92
20019,14.4,71
56894,13.6,60
95330,18.0,46
106849,-2.5,85
59253,-9.8,85
6730,1.2,96
51912,2.0,91
6138,-6.5,70
99867,-15.0,82
30633,10.0,46
127122,7.7,72
135325,-4.0,96
35277,-10.3,85
117640,-8.8,71
102856,31.8,29
26131,17.5,54
46071,-7.7,68
109043,8.1,70
117830,2.5,74
55287,20.2,41
90329,22.6,34
126345,30.2,19
50443,31.2,29
51206,13.1,93
90144,14.7,86
22198,9.6,76
39788,4.4,81
106921,8.1,67
137823,25.2,33
81582,-12.0,83
75150,-3.9,87
54427,16.4,59
64123,-11.4,85
56297,22.0,42
106495,0.4,94
137879,30.8,32
17518,-12.1,84
135196,-12.6,81
105187,-7.1,96
63329,8.7,49
64794,-7.5,82
85210,30.1,25
121166,10.9,70
114238,27.4,22
30575,10.2,48
34437,9.4,35
35,-17.1,79
6792,-4.2,63
45755,4.6,62
113887,22.5,38
104739,-4.1,98
56213,26.4,35
103495,28.2,36
106119,7.4,86
20976,19.5,49
55759,19.0,68
56460,15.6,83
21146,24.2,48
71648,3.1,76
22265,4.4,85
10665,-0.2,98
126616,26.8,30
94295,-7.5,73
78276,20.6,36
84844,22.4,68
88053,-7.0,78
74380,10.2,51
92542,8.0,87
92432,0.1,79
37651,27.1,40
103541,20.9,37
105600,-25.8,85
112443,2.2,66
129177,-0.4,96
46279,-1.8,94
91750,14.1,74
35351,-32.4,64
15407,8.4,66
135823,10.9,65
37414,28.8,43
79723,20.4,62
54171,3.0,42
124096,11.9,54
60093,0.6,81
134847,-10.1,91
66016,14.3,45
126162,22.9,52
84352,19.8,39
121330,0.9,56
93721,-6.8,62
123687,10.9,33
130626,15.0,49
6423,-2.9,60
47682,3.5,92
15113,32.2,28
64916,-8.9,86
7384,9.9,48
37776,22.2,51
101479,29.2,36
57111,6.8,94
60947,24.7,25
137633,14.9,81
102655,24.0,33
66765,16.0,52
126184,38.0,18
67476,29.4,31
137624,30.7,29
96227,21.6,50
114989,12.2,70
86189,7.2,91
51805,-1.4,96
91196,22.6,42
10926,-0.7,88
127756,7.0,87
133483,-1.5,84
31154,11.0,91
76183,0.6,55
32950,16.2,63
