index,Temperature
55949,22.8
30198,10.0
133563,-0.5
100178,-6.3
97257,31.6
40146,9.7
33506,17.4
1362,-0.2
112472,17.0
72040,13.9
55207,25.4
75669,-7.5
116599,-9.5
119820,17.7
123158,-7.9
107643,24.0
62951,10.8
89630,11.5
119220,22.3
4270,9.2
128881,-17.7
30813,3.3
88888,0.4
90689,23.3
111650,-10.7
27263,21.9
129629,-6.3
127161,12.9
116888,-0.4
30720,2.5
127650,-8.4
76740,-9.6
109669,5.6
23041,1.4
61835,20.2
50857,27.4
136091,-4.2
117330,-6.1
126354,15.7
43796,29.2
93563,-16.1
4845,0.5
90406,36.4
43573,23.1
137545,32.0
5178,-4.9
76124,-14.3
16232,7.7
122935,-5.3
136781,16.0
31229,13.6
82814,-11.1
18880,-7.7
37577,22.2
62202,21.0
26704,19.7
78820,24.6
36837,10.7
198,-7.7
135862,16.8
133770,7.2
14659,22.0
93436,2.7
23487,-7.5
53961,3.2
34323,0.0
11133,0.5
90602,30.3
129879,-0.1
97263,17.5
27825,0.4
52593,-7.5
101302,22.7
115802,9.7
10816,1.8
130969,28.9
125041,20.4
121058,3.2
72552,26.0
12846,0.9
91752,12.0
72517,24.8
77844,8.8
61538,24.6
32198,28.6
49542,34.2
81637,-8.2
41657,0.9
98503,3.0
125214,24.9
21069,18.3
77528,15.4
82417,-21.2
125454,21.6
69779,-22.4
4790,5.4
77995,24.5
36314,7.6
39067,24.8
138243,12.7
14109,9.9
100064,-7.1
39262,6.3
137949,22.6
13395,5.5
3804,17.9
87387,-10.7
130618,16.0
136529,18.9
120953,23.9
89420,11.6
107347,16.8
71408,-5.5
79285,26.2
132768,15.8
61887,21.6
11925,0.6
43690,31.3
116087,7.8
71936,11.0
97949,13.3
63195,2.6
50040,23.2
82310,-28.1
6767,3.0
54369,11.8
29926,-19.6
17382,-15.2
49337,26.6
105540,-3.6
86515,-0.3
26692,25.0
135179,-10.2
9093,27.1
62913,11.4
116440,5.2
42561,3.8
72187,26.4
117501,0.4
99995,-24.9
19591,14.6
69819,-13.2
20070,19.4
787,-9.9
136146,2.3
134117,-14.8
31895,28.7
100360,-0.3
14964,22.8
33607,22.2
18739,5.4
38066,15.6
59713,-1.1
56576,11.2
107542,30.9
46877,-9.0
45837,8.4
117531,6.1
50329,32.0
99842,0.9
120505,27.8
9364,22.7
59249,-7.8
51740,9.4
12490,-4.8
137736,34.7
44951,28.2
10118,20.5
36665,15.0
40784,-6.0
24602,1.4
29761,-13.6
26441,21.2
121294,3.7
101185,7.1
79078,32.1
22496,-5.7
88551,4.7
50947,14.2
48089,11.0
102180,26.6
50644,28.9
33293,18.7
114329,29.4
13154,-9.7
22432,10.3
109230,8.4
42085,7.6
10066,2.2
30744,-5.3
125121,19.4
125982,20.6
133358,6.0
30167,-1.6
86950,-7.4
123965,-5.1
31333,19.6
24983,17.3
82067,-1.9
14377,25.1
49435,28.6
133038,9.1
99597,-17.6
91726,15.3
83152,4.5
69313,-6.1
90370,22.1
67006,22.2
134315,-10.1
10993,3.0
134848,-22.5
15760,15.1
31862,28.8
111743,-19.5
59909,15.6
25715,15.9
1472,7.8
71747,13.2
113575,20.7
102492,18.8
21647,13.5
125429,22.7
33888,10.0
34467,8.0
100258,2.3
10063,5.7
103121,15.2
26488,27.2
32188,21.1
105963,-13.7
61912,35.5
83523,3.6
114802,17.9
74173,18.2
121984,-14.0
85497,25.2
57306,11.3
107021,4.0
88513,1.2
22644,-0.4
137750,29.2
98667,-10.5
87537,-2.6
7095,9.3
51441,3.0
70261,-8.1
4059,20.2
44872,28.5
76712,-6.8
118235,5.3
121028,11.1
116896,-0.3
112851,12.9
62135,29.6
95606,19.0
71624,18.5
25567,19.6
35335,-32.0
118752,8.2
41724,-4.9
117735,6.5
6110,4.6
103647,9.2
59211,-4.7
133672,5.2
11471,-7.1
82443,-9.0
33764,9.8
10039,17.0
134797,-8.3
15006,16.8
89639,23.8
328,-2.1
111810,-3.8
97022,21.5
51379,8.5
89327,17.5
53396,-5.7
85095,23.1
137024,19.0
61511,35.3
83294,15.0
51583,1.4
28614,4.8
50041,32.7
100670,1.7
79916,15.6
38979,11.1
106176,-23.6
98146,9.2
132941,6.5
111602,1.3
52982,-10.7
23643,-2.2
125511,34.3
131064,26.6
133184,3.2
7765,17.6
22605,3.0
33597,9.2
87648,-3.4
47985,-0.4
35354,-33.4
75736,-14.7
93378,-1.9
88721,1.3
22731,3.3
138740,21.9
70812,-4.7
59362,-24.6
106345,-10.6
119218,15.3
78611,23.4
54180,1.8
50340,25.1
9557,24.2
101423,16.3
46867,-8.4
71115,-6.0
71353,-6.8
64979,-3.3
63260,7.5
131725,26.2
5658,-2.1
33093,16.8
92328,4.4
17162,-25.4
72722,23.1
98551,7.5
108412,21.6
119112,14.7
18814,-6.3
30144,-3.6
92253,2.3
10082,4.0
134888,-10.8
83927,27.2
129754,-8.3
37518,13.6
109666,19.5
138225,23.2
73529,23.6
64893,-4.3
138177,11.7
111991,-1.9
53697,-6.0
100104,6.4
112705,1.6
44160,9.9
126827,16.3
133458,-1.1
40393,-16.5
70055,-2.6
108967,20.4
49295,10.0
21822,6.9
99406,-1.7
42512,-4.0
135533,0.5
65118,-29.5
32237,27.5
22285,13.6
85524,32.9
25891,13.1
137649,22.8
94718,1.4
71703,20.3
91744,13.4
36332,5.3
6391,-0.8
73826,23.5
65284,0.3
92654,-0.6
91349,22.9
53933,11.8
137349,23.1
72273,17.0
83906,12.5
19071,7.0
111709,-2.0
70609,-4.1
4118,15.3
67623,33.7
40827,-1.6
45818,13.4
6256,-13.2
88432,-19.9
94178,-13.8
126896,20.4
6095,-7.9
56323,20.2
27336,26.4
120837,16.3
42778,11.9
61312,15.6
57968,-0.4
105064,3.1
68341,24.0
100039,-16.0
91271,30.0
79847,14.6
36103,0.6
102720,17.7
73139,21.8
71003,-15.7
91167,12.5
26750,26.0
7266,10.2
31221,18.2
27833,5.8
35458,-24.6
36625,-2.6
123041,-15.3
49246,21.6
132078,22.2
45658,10.1
37833,25.9
94051,0.7
88821,-5.2
21697,8.2
19410,-0.9
50035,23.8
41973,1.0
134085,-18.2
107141,14.5
15275,24.2
32789,23.5
125705,33.2
63932,-4.4
122552,-19.5
138475,11.9
110236,-6.9
15182,20.0
58179,-9.2
56311,25.7
84849,21.1
122520,-6.3
129738,-11.1
78075,24.8
37135,9.4
28642,-1.6
73362,20.6
40803,0.0
64034,-5.0
60877,12.1
116108,0.5
76157,-5.8
99622,-6.7
33467,13.1
132847,18.0
60377,19.1
117553,-6.3
7682,15.8
118020,7.9
36285,-1.0
32311,33.8
77136,1.2
9193,27.5
117499,3.8
126760,25.0
2518,28.1
38163,16.2
44636,20.8
127848,2.4
66478,10.0
71253,-2.0
36947,25.2
65011,-3.9
136570,16.4
33806,4.5
71920,10.8
131638,31.4
128767,-4.1
39118,12.8
8130,16.5
12305,-8.5
116127,3.4
123496,11.9
121416,9.0
2029,9.3
14616,20.4
105150,0.3
78100,20.2
14777,27.2
39319,24.8
48771,7.8
65026,-24.2
105988,-5.6
26802,20.2
135129,0.6
39798,10.7
136038,19.2
97197,23.8
63243,9.5
7383,11.3
80176,8.4
80215,23.0
62317,21.0
101695,18.3
47903,3.7
48156,6.4
14701,23.1
28785,-2.0
26774,25.7
136331,14.5
62506,17.8
55824,20.2
49609,20.0
575,-8.5
12677,-1.9
95100,7.8
2630,30.4
1956,5.8
26224,14.6
6135,-4.4
62187,13.6
107706,29.9
109036,19.9
45059,22.3
125085,23.7
22764,-3.5
111704,-12.8
113163,19.2
95799,18.2
78380,23.8
5428,0.3
85392,19.0
122753,-10.4
103337,22.7
67822,19.7
136399,1.1
70619,-6.9
56102,29.8
12000,-5.8
34257,-3.2
51585,5.8
42572,17.3
132369,13.0
31991,31.6
122709,-21.5
46725,-27.2
27594,14.4
71957,20.3
105979,-8.0
41055,-4.9
75099,4.0
122157,-11.3
100693,1.8
113308,17.1
34796,-4.0
76930,4.3
93129,1.4
2280,19.9
73776,21.9
32503,35.3
71381,-0.4
53390,-9.6
87443,-4.5
124428,11.2
61191,25.6
11985,-13.8
117212,-3.7
53779,9.0
126172,25.5
6370,-10.5
34113,-2.9
14956,14.3
88036,-31.1
88125,-15.3
37451,22.6
45408,1.7
109387,10.7
50514,27.8
78652,18.4
135721,13.3
51547,4.0
60327,7.1
104179,0.4
119468,24.1
23159,6.0
13043,10.1
32257,11.2
94095,1.7
25267,0.6
2119,19.2
116670,-8.9
138603,18.6
52106,4.0
103752,15.2
59910,4.5
16345,5.8
75256,0.2
1876,21.2
45956,8.7
24127,-3.7
2591,13.2
102669,27.4
133516,-2.1
93356,-4.0
105698,-7.1
54357,18.1
20088,23.8
17387,-5.3
108069,30.2
38628,30.0
138688,10.6
132193,21.4
113038,9.5
95624,18.0
67746,32.5
87149,-12.2
137703,28.4
93350,3.0
28104,9.4
54829,14.2
135063,-10.2
84047,10.7
39359,6.0
40216,8.6
73668,32.2
61165,24.6
129918,-3.6
98252,1.8
125817,27.8
130916,15.7
56727,23.0
20772,17.4
52843,-7.6
135134,-7.2
11337,-16.1
31800,29.6
84826,25.7
98815,-2.6
104954,-7.1
53904,8.3
38004,27.9
60034,1.7
105568,-21.0
113553,15.3
126144,18.3
103692,11.6
123767,0.7
136862,14.9
132393,25.2
99146,-0.4
136291,17.6
88972,-0.8
39779,8.0
52031,0.5
44117,36.8
56988,13.4
80788,8.0
78852,19.4
48501,11.0
119977,27.2
16604,5.7
90848,24.5
56932,21.5
104352,0.9
96351,18.4
73615,18.6
55655,29.8
18483,-2.2
55707,21.7
52785,-12.5
58069,-19.9
108294,31.3
106662,5.6
48269,12.0
61070,21.0
45145,18.3
108788,31.1
89778,8.8
23260,-6.1
130411,13.6
68763,9.8
42838,13.4
36474,6.3
49038,20.8
12859,4.4
95135,3.3
115703,15.6
45937,-12.5
138312,20.7
122469,-19.9
44669,19.2
42660,13.5
101949,17.3
19794,24.2
15621,20.8
73558,29.7
36689,3.6
120651,25.0
106400,-2.2
89819,21.2
8600,28.0
36353,-4.0
44048,21.9
76856,-12.2
86722,-2.6
99880,0.3
45607,11.5
49189,18.4
95787,17.6
107513,31.6
113210,23.9
96266,29.0
37753,25.4
45931,-8.9
83505,2.7
65313,-2.3
10474,11.1
38855,30.8
106985,14.1
127817,-0.7
54036,12.8
122713,-6.1
123869,0.6
14900,34.2
81201,-6.2
106197,5.9
113335,21.7
61428,29.8
16280,-1.9
101512,29.7
31281,11.8
127200,0.6
10151,19.5
81796,-8.1
84850,20.7
80620,7.7
126422,27.8
47116,-17.9
114504,32.5
121664,11.9
21397,25.0
92540,8.3
77628,19.7
102539,25.2
41362,3.8
114302,26.0
82851,-18.9
134172,-6.5
22494,-4.5
111274,-15.6
127396,8.9
90771,18.7
63898,-0.2
72162,15.3
127368,18.4
5399,-4.5
14218,18.5
137195,27.1
115872,5.9
20399,18.3
88322,-10.1
13506,7.3
34214,13.8
3951,15.4
104695,3.7
86177,8.2
33656,21.8
100845,-9.2
62431,14.5
34242,6.4
43325,18.0
44240,15.1
108257,17.1
128548,-2.5
34573,-4.5
26118,30.5
7524,11.5
48038,4.8
45717,1.8
130475,18.2
117398,-4.4
61462,29.3
59545,8.4
129287,2.4
42952,7.6
15199,22.1
87177,-3.7
86566,-4.8
48273,3.4
52228,3.5
2449,8.8
99822,-2.1
67422,17.1
75584,-1.8
8743,32.0
44171,21.6
71921,13.4
85665,16.7
94081,1.1
16578,3.0
69478,-5.8
96507,22.4
122738,-7.6
12053,-4.9
29463,-12.0
104578,-3.4
51624,10.8
104053,14.1
111138,-8.4
90227,18.6
95283,7.2
34853,-1.8
43928,26.4
110975,-7.0
67919,20.9
26184,23.1
30414,1.6
78541,16.8
53921,7.7
39366,22.1
124916,27.8
98504,4.3
42172,8.4
44641,12.1
69974,-11.7
14704,16.6
50804,27.2
36930,5.0
54368,-2.2
138387,19.0
95683,17.0
67668,32.8
25129,11.7
83292,16.6
92208,9.9
98363,-1.2
17612,-5.5
121010,19.6
75508,-4.0
94162,-13.1
120404,21.0
12978,2.8
30939,14.4
59896,9.6
11863,1.9
4699,4.6
12752,2.8
132278,17.4
61062,26.5
2174,0.5
71183,-6.3
62056,34.4
93224,-5.5
60580,7.7
52694,-5.1
135638,-2.0
73949,18.8
44609,15.2
136783,15.3
136452,11.5
59292,2.3
22775,6.8
132697,18.9
13290,18.0
17980,-18.3
88380,-11.8
80271,9.8
104438,3.9
91497,28.9
59349,5.1
43134,17.6
7473,9.0
33244,20.0
21192,30.0
101498,19.4
53410,-7.9
18190,-16.7
57727,-8.9
66163,10.2
41441,-6.9
135022,-2.4
109294,12.1
81789,-7.7
110474,0.1
55040,7.8
136341,21.0
73478,28.0
26748,24.4
11644,-5.6
65779,1.6
16591,5.9
75717,-21.0
2348,15.4
43680,22.3
4537,11.7
33505,5.9
56506,15.4
13059,14.5
12960,1.4
43081,20.1
56595,11.6
68411,18.3
13897,21.8
29976,-13.4
90334,15.7
3418,31.2
101162,15.8
121778,0.9
125983,23.5
131843,27.9
45962,5.7
104140,-3.5
103506,20.9
38476,15.8
97568,18.7
97380,30.2
132200,33.1
61269,32.1
20090,19.2
13240,5.4
68534,19.3
2320,16.6
87775,-0.1
61872,16.0
89732,11.1
106252,-12.4
26386,21.5
6422,-24.8
3615,16.6
19735,20.2
92242,8.4
66374,17.1
114608,20.8
97652,24.6
71659,16.8
55641,28.2
77446,3.9
44474,29.0
57318,19.8
43091,7.0
3288,25.0
62978,-0.4
109420,17.6
82471,-11.3
115014,17.9
34007,2.1
79704,28.4
82925,-8.9
54659,13.0
127270,11.0
110501,-1.9
121841,1.4
39535,11.4
70079,-1.7
91845,18.8
10418,5.0
120958,10.0
98877,-1.2
129902,-5.5
64675,-14.4
23751,-10.4
18742,-2.6
59408,-16.8
49196,24.7
114729,22.8
99478,-6.1
5824,0.5
136088,-3.9
107574,12.3
100868,-8.4
97304,26.5
23389,-1.6
58432,-4.7
56589,15.6
96587,24.7
15832,13.8
111943,-7.3
12033,-10.2
32762,24.2
33100,18.5
85271,24.5
133014,16.1
53610,6.5
3354,33.0
100971,6.7
18265,-9.7
59045,-23.8
9338,17.0
63991,-2.6
3713,15.8
2034,8.0
22033,3.2
20019,14.4
56894,13.6
95330,18.0
106849,-2.5
59253,-9.8
6730,1.2
51912,2.0
6138,-6.5
99867,-15.0
30633,10.0
127122,7.7
135325,-4.0
35277,-10.3
117640,-8.8
102856,31.8
26131,17.5
46071,-7.7
109043,8.1
117830,2.5
55287,20.2
90329,22.6
126345,30.2
50443,31.2
51206,13.1
90144,14.7
22198,9.6
39788,4.4
106921,8.1
137823,25.2
81582,-12.0
75150,-3.9
54427,16.4
64123,-11.4
56297,22.0
106495,0.4
137879,30.8
17518,-12.1
135196,-12.6
105187,-7.1
63329,8.7
64794,-7.5
85210,30.1
121166,10.9
114238,27.4
30575,10.2
34437,9.4
35,-17.1
6792,-4.2
45755,4.6
113887,22.5
104739,-4.1
56213,26.4
103495,28.2
106119,7.4
20976,19.5
55759,19.0
56460,15.6
21146,24.2
71648,3.1
22265,4.4
10665,-0.2
126616,26.8
94295,-7.5
78276,20.6
84844,22.4
88053,-7.0
74380,10.2
92542,8.0
92432,0.1
37651,27.1
103541,20.9
105600,-25.8
112443,2.2
129177,-0.4
46279,-1.8
91750,14.1
35351,-32.4
15407,8.4
135823,10.9
37414,28.8
79723,20.4
54171,3.0
124096,11.9
60093,0.6
134847,-10.1
66016,14.3
126162,22.9
84352,19.8
121330,0.9
93721,-6.8
123687,10.9
130626,15.0
6423,-2.9
47682,3.5
15113,32.2
64916,-8.9
7384,9.9
37776,22.2
101479,29.2
57111,6.8
60947,24.7
137633,14.9
102655,24.0
66765,16.0
126184,38.0
67476,29.4
137624,30.7
96227,21.6
114989,12.2
86189,7.2
51805,-1.4
91196,22.6
10926,-0.7
127756,7.0
133483,-1.5
31154,11.0
76183,0.6
32950,16.2
115032,20.1
16233,19.9
113942,31.0
21769,20.0
90125,17.5
15714,7.6
26970,23.2
73431,25.4
128782,-14.8
59034,-9.4
100305,1.3
84441,30.9
94272,-7.9
104328,3.8
121625,5.5
33985,5.7
112912,8.4
128760,2.0
34079,-2.2
26429,15.0
113314,16.4
84877,24.9
32754,21.8
73427,18.6
132585,19.2
128105,6.1
29549,-16.2
132823,28.8
3782,25.1
16222,10.4
103421,11.8
132819,6.4
77472,1.6
80369,3.8
106063,-10.3
79442,28.6
59859,3.3
93927,-14.0
111044,-8.9
28049,-5.2
119924,31.2
59953,0.0
80988,5.4
29273,-1.4
80425,6.8
115387,18.2
64615,-15.6
265,-7.2
126784,10.2
103175,29.8
21120,16.9
45193,21.2
102640,17.1
91846,14.9
81279,0.3
136219,14.1
35093,-24.7
98227,-6.3
17033,3.2
96273,15.9
132045,21.3
10744,2.0
40419,-15.1
41843,-28.5
126712,31.8
46223,-19.3
33332,26.1
36634,13.2
134956,-16.2
107121,17.2
93236,1.1
67063,25.6
129644,4.8
70425,-17.1
131732,34.2
38271,22.4
103527,22.9
16783,6.6
110527,2.0
39902,9.6
14311,18.8
100654,-0.1
11673,-1.3
85502,25.7
110099,1.8
651,0.8
18926,-2.3
73645,23.9
133380,6.0
57821,3.4
138699,11.2
40690,1.2
103232,18.5
113542,23.5
32455,31.3
93209,-0.4
121517,8.2
131608,28.1
135084,-8.0
132662,21.6
8835,21.9
41782,2.0
114852,31.4
48103,12.1
76214,-14.8
21503,21.2
980,-6.8
118053,4.8
121019,14.7
120689,16.9
130536,14.9
58096,-12.3
116800,-4.8
108164,25.0
36053,4.8
13590,13.8
34925,3.5
101632,16.2
104279,8.0
42221,7.8
122446,-8.8
29798,-13.2
69170,1.5
120036,36.1
131541,19.9
75196,5.9
76379,2.4
64692,-9.1
71989,23.3
8059,19.2
98985,-18.3
81514,0.3
60316,21.7
100833,-3.1
7487,9.2
6865,-3.0
22088,18.0
20980,24.0
31049,24.3
78078,14.0
124226,0.9
125443,27.0
45328,-0.6
127937,0.7
123148,-6.4
97863,9.0
7418,10.2
17375,-14.3
27896,10.6
84456,21.4
132883,8.7
37617,19.5
19356,10.6
44503,24.9
136817,18.3
60890,14.0
36717,5.2
39143,15.8
137697,23.2
43849,25.8
137768,30.2
22023,11.6
126826,19.0
25674,14.3
105208,-5.5
18625,-5.3
103048,23.8
5752,-0.4
95976,18.2
34788,1.5
55250,20.8
69348,-2.9
2540,20.1
113454,17.7
23044,-15.1
6555,-8.9
12187,-0.4
37144,14.2
75456,-4.4
53689,-4.8
70339,0.8
52551,1.4
115822,10.7
39765,12.5
49802,31.9
22268,7.4
56961,10.4
123047,-13.8
102748,25.9
55148,22.0
55575,25.6
112760,5.8
118955,13.9
58777,-5.9
131421,18.3
10902,10.9
118798,5.8
68114,18.6
129437,0.5
22638,-2.6
99503,-15.0
36521,15.0
66529,9.4
110903,-13.0
71103,-10.4
15686,18.0
95207,21.2
18107,4.7
90701,22.1
61918,24.3
70365,-2.9
64055,3.9
129170,0.6
91060,27.4
114895,12.3
6756,7.4
20269,12.5
93000,5.4
92155,2.4
115623,22.8
40220,1.0
135285,-18.0
64780,-6.5
6334,-11.8
71557,1.8
43121,11.0
57621,-5.8
30962,21.9
129028,4.9
49315,27.6
58443,4.5
75894,-8.5
36117,1.2
112244,15.9
19980,16.7
51648,7.2
2945,18.7
45453,5.8
14146,27.2
130843,8.6
55422,13.2
64318,-20.2
20334,17.0
66387,18.6
84026,24.1
79113,25.7
72732,18.4
14044,20.5
16602,-1.0
39858,0.4
31326,13.2
51259,16.4
71371,-4.2
100388,-8.1
135384,-5.6
127276,3.1
73456,19.2
59897,15.3
93164,0.9
35060,-7.3
24382,0.9
74320,19.0
47226,-4.4
76837,-0.3
26504,23.4
53048,2.8
65479,-2.6
78960,19.2
70881,-21.5
14621,18.9
80458,17.2
89677,18.6
30914,2.3
116101,4.3
85618,15.6
54059,12.0
41801,7.7
38976,8.4
81643,-18.3
18000,-2.7
15442,14.8
138009,29.5
61135,23.9
58297,-13.7
86448,2.9
35089,-24.9
96653,16.8
116496,-1.8
114647,13.2
99696,-0.3
48685,5.2
96196,28.2
13216,-1.2
64497,-16.2
61469,29.1
201,-4.3
70095,-1.6
110833,-5.7
111149,-8.2
116772,-5.6
43498,13.0
17719,-0.1
19261,0.6
61380,30.6
76775,3.4
77867,8.2
99652,2.1
64431,-20.6
94268,-1.8
59086,-12.7
89267,17.6
86660,0.3
72357,19.7
6347,-11.5
4444,10.4
64479,-20.6
132125,23.9
15780,10.7
130944,14.8
82175,-3.8
124643,25.8
127703,5.2
65503,-3.6
44214,23.1
67022,21.2
20297,28.4
54764,15.0
125318,30.5
88389,5.9
93963,-12.5
109927,15.1
11389,-12.2
120835,22.9
123414,2.8
108462,28.3
116140,6.1
40712,0.8
96069,28.7
118655,11.9
127917,-6.5
132386,16.4
28740,2.8
110050,6.2
128890,-0.4
117539,-2.3
128099,3.9
57401,14.8
59662,8.8
64872,-2.4
33932,9.9
31138,16.8
12070,-2.2
14474,15.9
73207,23.6
62443,15.4
136585,20.0
83226,2.5
97093,33.0
104745,-4.1
89948,10.2
58891,-3.5
122385,-21.3
115240,16.1
101027,11.8
60003,-3.7
82889,-3.4
57415,5.0
138162,20.1
132196,28.5
31206,26.4
14300,17.3
50239,16.2
119118,9.8
64184,2.2
49017,28.2
110211,4.4
21761,16.2
78333,12.4
102400,18.3
48471,6.4
113724,19.9
94424,15.4
137303,34.4
138155,22.2
89222,6.8
24370,4.5
124005,3.4
100346,-2.4
74862,4.1
119255,24.4
52806,-0.6
123413,1.3
136725,24.8
9918,13.6
61996,21.6
48600,21.4
100939,6.9
106049,-7.7
54396,6.2
107039,0.8
105523,-7.5
84881,16.8
117421,0.1
4731,4.6
34081,1.2
96733,21.7
28719,-7.2
53722,1.4
48636,20.4
124662,20.4
41894,-3.7
30886,9.6
73522,28.3
91504,12.3
17233,-3.7
103942,15.5
18122,-7.3
